id,url,name,date,hour,place_name,city,street,image,lat,lon
0,https://www.trojmiasto.pl/imprezy/Festiwal-Muzyki-Disco-imp571848.html,Festiwal Muzyki Disco 2025 - Hype Disco Festiwal,29 listopada 2025,godz. 18:00,Ergo Arena,Gdańsk Sopot,pl. Dwóch Miast 1,https://s-trojmiasto.pl/zdj/c/n/3/4064/185x260/4064632__c_0_0_720_960__kr.webp,54.4265278,18.5805248
1,https://www.trojmiasto.pl/imprezy/Suspiria-Festiwal-Cinematika-imp585687.html,Suspiria | Festiwal Cinematika,6 grudnia 2025,godz. 20:45,Teatr Szekspirowski,Gdańsk,Wojciecha Bogusławskiego 1,https://s-trojmiasto.pl/zdj/c/n/3/4184/185x260/4184529__c_0_0_1920_2560__kr.webp,54.3478538,18.6479094
2,https://www.trojmiasto.pl/imprezy/Wiktor-Dydula-Tak-jak-tutaj-stoje-tour-imp572428.html,Wiktor Dyduła | Tak jak tutaj stoję tour,5 grudnia 2025,godz. 18:00,Drizzly Grizzly,Gdańsk,Elektryków 1,https://s-trojmiasto.pl/zdj/c/n/3/3993/185x260/3993779__c_34_0_1013_1350__kr.webp,54.3644456,18.6482802
3,https://www.trojmiasto.pl/imprezy/Niewyklady-muzyczne-Wielcy-kompozytorzy-zanim-byli-wielcy-Georg-Friedrich-Handel-imp581085.html,(Nie)wykłady muzyczne - Wielcy kompozytorzy zanim byli wielcy - Georg Friedrich Handel,2 grudnia 2025,"godz. 09:00, 11:15",Filharmonia Bałtycka,Gdańsk,Ołowianka 1,https://s-trojmiasto.pl/zdj/c/n/3/4125/185x260/4125377__c_125_0_750_1000__kr.webp,54.3527237,18.6616097
4,https://www.trojmiasto.pl/imprezy/Tymek-x-Andrzejki-imp584606.html,Tymek x Andrzejki,29 listopada 2025,godz. 23:00,Joy Sopot,Sopot,Armii Krajowej 111,https://s-trojmiasto.pl/zdj/c/n/3/4178/185x260/4178357__c_780_0_806_1075__kr.webp,54.4442059,18.5552094
5,https://www.trojmiasto.pl/imprezy/Mysz-Masz-na-swieta-mikolajkowe-seanse-z-konkursami-imp585729.html,Mysz-Masz na święta - mikołajkowe seanse z konkursami,5 grudnia 2025,godz. 17:30,Helios Forum Gdańsk,Gdańsk,Targ Sienny 7,https://s-trojmiasto.pl/zdj/c/n/3/4186/185x260/4186480__c_1_0_398_532__kr.webp,54.3505875,18.6440673
6,https://www.trojmiasto.pl/imprezy/Andrzejki-imp584734.html,Andrzejki,29 listopada 2025,godz. 20:00,Montownia,Gdańsk,Lisia Grobla 7,https://s-trojmiasto.pl/zdj/c/n/3/4172/185x260/4172823__c_33_0_997_1329__kr.webp,54.35962,18.6541817
7,https://www.trojmiasto.pl/imprezy/DR-Hackenbush-The-Syntetic-andrzejkowy-AFTER-by-Baywatchparties-imp582276.html,DR Hackenbush + The Syntetic + andrzejkowy AFTER by Baywatchparties,29 listopada 2025,godz. 19:00,Podwórko.art,Gdynia,Świętego Piotra 2,https://s-trojmiasto.pl/zdj/c/n/3/4141/185x260/4141282__c_295_0_307_407__kr.webp,54.5242059,18.5475325
8,https://www.trojmiasto.pl/imprezy/PRO8L3M-Ex-Umbra-Ad-Libertatem-Tour-imp581505.html,PRO8L3M - Ex Umbra Ad Libertatem Tour,6 grudnia 2025,godz. 20:00,Ergo Arena,Gdańsk Sopot,pl. Dwóch Miast 1,https://s-trojmiasto.pl/zdj/c/n/3/4189/185x260/4189859__c_0_240_1080_1440__kr.webp,54.4265278,18.5805248
9,https://www.trojmiasto.pl/imprezy/Natalia-Bozewicz-Milosc-przyszla-zima-Osiecka-na-Mikolajki-Zlote-stosy-pomaranczy-imp585581.html,"Natalia Bożewicz - Miłość przyszła zimą. Osiecka na Mikołajki ""Złote stosy pomarańczy""",6 grudnia 2025,godz. 19:00,Oliwski Ratusz Kultury,Gdańsk,Opata Jacka Rybińskiego 25,https://s-trojmiasto.pl/zdj/c/n/3/4183/185x260/4183359__c_567_0_337_449__kr.webp,54.4088889,18.5592231
10,https://www.trojmiasto.pl/imprezy/Swiateczny-koncert-bozonarodzeniowe-utwory-i-koledy-imp583822.html,Świąteczny koncert - bożonarodzeniowe utwory i kolędy,2 grudnia 2025,godz. 20:30,Polsat  Plus Arena Gdynia,Gdynia,Kazimierza Górskiego 8,https://s-trojmiasto.pl/zdj/c/n/3/4162/185x260/4162035__c_0_25_600_800__kr.webp,54.4989221,18.5313642
11,https://www.trojmiasto.pl/imprezy/Rysy-X-Tour-10-Years-of-Altitude-imp582163.html,Rysy X Tour - 10 Years of Altitude,5 grudnia 2025,godz. 22:00,B90,Gdańsk,Elektryków,https://s-trojmiasto.pl/zdj/c/n/3/4140/185x260/4140727__c_0_0_551_735__kr.webp,54.3644456,18.6482802
12,https://www.trojmiasto.pl/imprezy/Antek-Smykiewicz-Inny-Wymiar-imp570752.html,"Antek Smykiewicz - ""Inny Wymiar""",6 grudnia 2025,godz. 19:30,Parlament,Gdańsk,Świętego Ducha 2,https://s-trojmiasto.pl/zdj/c/n/3/3965/185x260/3965631__c_0_0_600_800__kr.webp,54.3514722,18.6485164
13,https://www.trojmiasto.pl/imprezy/Powrot-Scyzoryka-Liroy-HWR-Karaz-imp581559.html,Powrót Scyzoryka: Liroy + HWR & Karaz,5 grudnia 2025,godz. 20:30,Parlament,Gdańsk,Świętego Ducha 2,https://s-trojmiasto.pl/zdj/c/n/3/4132/185x260/4132086__c_50_0_300_400__kr.webp,54.3514722,18.6485164
14,https://www.trojmiasto.pl/imprezy/Koncert-przy-swiecach-Klasyki-Rocka-imp583875.html,Koncert przy świecach: Klasyki Rocka,30 listopada 2025,godz. 19:45,Muzeum II Wojny Światowej,Gdańsk,Władysława Bartoszewskiego 1,https://s-trojmiasto.pl/zdj/c/n/3/4162/185x260/4162364__c_50_0_300_400__kr.webp,54.3559415,18.6611212
15,https://www.trojmiasto.pl/imprezy/Oliwski-Jarmark-Swiateczny-imp584759.html,Oliwski Jarmark Świąteczny,6 grudnia 2025,godz. 17:00,Pchli Targ w Oliwie,Gdańsk,Polanki 1A,https://s-trojmiasto.pl/zdj/c/n/3/4173/185x260/4173064__c_0_58_1414_1885__kr.webp,54.4083063,18.5595238
16,https://www.trojmiasto.pl/imprezy/Boogie-Mama-feat-Witek-Bielski-imp574767.html,Boogie Mama feat. Witek Bielski,4 grudnia 2025,godz. 19:30,Blues Club,Gdynia,Portowa 9,https://s-trojmiasto.pl/zdj/c/n/3/4032/185x260/4032971__c_50_0_300_400__kr.webp,54.5243426,18.5432729
17,https://www.trojmiasto.pl/imprezy/Euforia-Dzwieku-imp574779.html,Euforia Dźwięku,29 listopada 2025,godz. 20:00,B90,Gdańsk,Elektryków,https://s-trojmiasto.pl/zdj/c/n/3/4033/185x260/4033005__c_0_0_552_736__kr.webp,54.3644456,18.6482802
18,https://www.trojmiasto.pl/imprezy/Kino-Konesera-Jedna-Bitwa-Po-Drugiej-imp586086.html,Kino Konesera: Jedna Bitwa Po Drugiej,1 grudnia 2025,godz. 18:00,Helios Alfa Centrum,Gdańsk,Kołobrzeska 41C,https://s-trojmiasto.pl/zdj/c/n/3/4190/185x260/4190193__c_40_0_672_896__kr.webp,54.4043413,18.5878237
19,https://www.trojmiasto.pl/imprezy/Festiwal-Eufonie-w-NCK-Gdansk-Polski-Piach-gra-Reksia-imp582331.html,Festiwal Eufonie w NCK Gdańsk | Polski Piach gra Reksia,29 listopada 2025,godz. 19:00,Centrum św. Jana,Gdańsk,Świętojańska 50,https://s-trojmiasto.pl/zdj/c/n/3/4141/185x260/4141484__c_135_0_810_1080__kr.webp,54.3519516,18.6570465
20,https://www.trojmiasto.pl/imprezy/Amelia-Smooth-Jazz-Trio-Beethoven-In-Bossa-w-Oria-Magic-House-imp584633.html,Amelia Chilevsky & Smooth Jazz Trio Beethoven In Bossa Nova w Oria Magic House,30 listopada 2025,godz. 18:00,Oria Magic House,Gdańsk,Stara Stocznia 4/1,https://s-trojmiasto.pl/zdj/c/n/3/4171/185x260/4171850__c_106_0_869_1159__kr.webp,54.3547404,18.6633654
21,https://www.trojmiasto.pl/imprezy/Masakra-KlatkA-SkinnerA-Zelga-imp585937.html,"Masakra, KlatkA SkinnerA, Zelga",6 grudnia 2025,godz. 19:00,Pub Torpeda,Gdańsk,Zofii Nałkowskiej 3,https://s-trojmiasto.pl/zdj/c/n/3/4189/185x260/4189228__c_0_59_1448_1931__kr.webp,54.360003,18.5905613
